,0
572,விழுதை
573,ஆகியவற்றைப்
574,ஜூஸ்
575,மூளை
576,அரசு
577,தாமரை இலை
578,தொண்டை
579,எள் எண்ணெய்
580,ஆவாரை
581,வேளை கீரை
582,வேக
583,கிருஷ்ண
584,பாற்சொரிக் கீரை
585,வெங்காயம்
586,கீழாநெல்லி இலை
587,திருநீற்று
588,நெல்லிக்காய் விதை
589,சாற்றுடன்
590,துத்து
591,வாலுளு
592,இம்பூறல்
593,பசை
594,ஆடாதொடை
595,வாழைத்தண்டை
596,தேங்காய்
597,வேப்பம் பூ
598,நாட்டுக்கோழி
599,நிலம்
600,இருமல்
601,தளிரை
602,அத்திப்
603,தனமும்
604,பூக்களை
605,துவரம் பருப்பு
606,வெந்தயம்
607,அகில்
608,துவிசி
609,மரப் மரப்
610,படிகாரம்
611,முருங்கை
612,துத்தி கீரை
613,எண்ணெய்
614,கூந்தலை
615,மிளகாய்ப்பொடி
616,முசுமுசுக்கை கீரை
617,பனைவெல்லம்
618,கறி
619,அசோகம்
620,துவரம்
621,முதியார்
622,வில்வ மரப்
623,விளா
624,அகம்து
625,ஆல மரப்
626,ரோஜாப் பூ
627,ஆகியவற்றை
628,துண்டு
629,நிலவேம்பு
630,மில்லி
631,கஸ்தூரி
632,பாகு
633,கர்ப்பிணி
634,வெள்ளரி விதை
635,காய்ச்சிக்
636,வழுக்கை
637,சுக்காங் கீரை
638,செடி கீரை
639,வாதநாராயணன்
640,பிடிப்பு
641,கீரைத்து
642,பட்டை பட்டை
643,சோற்றுக்கற்றாழை
644,அன்னாூப் பழம்
645,மஞ்சள் கீரை
646,கீரையை
647,வாழைப்பா
648,மஞ்சள்தூளை
649,வெள்ளை
650,வேர்பு வேர்பு
651,நெல்லி
652,டர்னி
653,ஆகாயத்தாமரை
654,பல்
655,மருதாணி
656,செவ்விளம்
657,உப்பு
658,இலையோடு
659,மாதுளை
660,அருகம்பு
661,ஈச்சுரமூலி
662,வேர்
663,முக
664,சபேத்மிசிரி
