,0,1,2,3,4,5,6,7,8,9,10
புண்ணாக்கை,புண்ணாக்கு,பிண்ணாக்குக்,,,,,,,,,
முருங்கை வேர்பு,முருங்கை கீரை,முருங்கை பட்டை,,,,,,,,,
ருத்திராட்சம்,,,,,,,,,,,
காசினிக்,,,,,,,,,,,
எலுமிச்சன்,எலுமிச்சம்,,,,,,,,,,
உளுந்து பருப்பு,பிஸ்தா பருப்பு,நாவல் பருப்பு,வெள்ளரி பருப்பு,துவரம் பருப்பு,முந்திரி பருப்பு,,,,,,
சரக்கொன்றை பூ,,,,,,,,,,,
பேரீச்சம்,பேரீச்சம்பழம்,,,,,,,,,,
புளியம் இலை,,,,,,,,,,,
புதினாவை,புதினா,புதினாச்,,,,,,,,,
அகத்தி கீரை,,,,,,,,,,,
பரட்டை கீரை,பார்லி கீரை,பிரண்டை கீரை,,,,,,,,,
பழுத்த,பழத்து,துத்து,துத்தி,பருத்தி,,,,,,,
மரம்,ஓமம்,மருதம்,மரம்து,,,,,,,,
ருத்திராட்சம் பொடி,,,,,,,,,,,
நாரத்தம் மரப்,,,,,,,,,,,
மொட்டு,மொட்டை,ஆட்டு,முட்டை,காட்டு,சொட்டு,கொட்டை,கட்டு,,,,
தேள்,தூள்,,,,,,,,,,
கசகசா,,,,,,,,,,,
கிள்ளிப்போட்டு,,,,,,,,,,,
கல்யாணமுருங்கை கீரை,முருங்கை கீரை,,,,,,,,,,
வேப்பு,வேப்பம்,௨ப்பு,குப்பு,பாம்பு,சிவப்பு,உப்பு,வசம்பு,கறிவேப்பு,,,
கிராம்பை,கிராம்புத்,,,,,,,,,,
இலை இலை,இலந்தை இலை,,,,,,,,,,
ஆறு,,,,,,,,,,,
துளச்,துளசசி,,,,,,,,,,
வாதநாராயணன் இலை,வாதநாராயணன் கீரை,,,,,,,,,,
ஆவாரம் பூ,மாம் பூ,ஆவாரம்பூ,ஆவாரம் இலை,,,,,,,,
பிரண்டை கீரை,பார்லி கீரை,தண்டு கீரை,பரட்டை கீரை,,,,,,,,
நெற்றி,,,,,,,,,,,
மணத்தக்காளி,,,,,,,,,,,
உத்தாமணி,,,,,,,,,,,
பாம்பு,பாதாம்,௨ப்பு,குப்பு,வேப்பு,நரம்பு,சோம்பு,மாம்பு,உப்பு,வசம்பு,செம்பு,பாயசம்
மயில்,மில்லி,பாயில்,,,,,,,,,
சடை இலை,,,,,,,,,,,
பிரச்னை,பிரண்டை,,,,,,,,,,
